date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:55:15	13179/13179	---M--	200	added ('OK')	text/html	etag:W/%22337b-18e95bea8a0%22	https://www.arorvr.com/html/AugmentedReality/VirtualTour/3D/ar.html?virtualtourid=11523b7b-c100-4be7-9f9f-6fc8b7b05057	C:/Users/win/Desktop/asdani%20martinex/reales/www.arorvr.com/html/AugmentedReality/VirtualTour/3D/ar6756.html	(from )
09:55:15	149/149	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2004%20May%202024%2004:25:15%20GMT	https://www.arorvr.com/robots.txt		(from )
09:55:17	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:%22603e8adc-15d9d%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/Users/win/Desktop/asdani%20martinex/reales/cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://www.arorvr.com/html/AugmentedReality/VirtualTour/3D/ar.html?virtualtourid=11523b7b-c100-4be7-9f9f-6fc8b7b05057)
09:55:18	1325918/1325918	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265536c05-143b5e%22	https://aframe.io/releases/1.4.2/aframe.min.js	C:/Users/win/Desktop/asdani%20martinex/reales/aframe.io/releases/1.4.2/aframe.min.js	(from https://www.arorvr.com/html/AugmentedReality/VirtualTour/3D/ar.html?virtualtourid=11523b7b-c100-4be7-9f9f-6fc8b7b05057)
09:55:18	1733822/1733822	---M-Z	200	added ('OK')	application/javascript	etag:W/%221a74be-mZaEORaNI4Vl1szoucIUe70rodM%22	https://cdn.jsdelivr.net/npm/mind-ar@1.2.2/dist/mindar-image-aframe.prod.js	C:/Users/win/Desktop/asdani%20martinex/reales/cdn.jsdelivr.net/npm/mind-ar@1.2.2/dist/mindar-image-aframe.prod.js	(from https://www.arorvr.com/html/AugmentedReality/VirtualTour/3D/ar.html?virtualtourid=11523b7b-c100-4be7-9f9f-6fc8b7b05057)
09:55:19	18451/18451	---M-Z	200	added ('OK')	text/css	etag:W/%224813-cVRgrthAcZRLwmt8seVl8+0QciE%22	https://cdn.jsdelivr.net/npm/swiper@10/swiper-bundle.min.css	C:/Users/win/Desktop/asdani%20martinex/reales/cdn.jsdelivr.net/npm/swiper@10/swiper-bundle.min.css	(from https://www.arorvr.com/html/AugmentedReality/VirtualTour/3D/ar.html?virtualtourid=11523b7b-c100-4be7-9f9f-6fc8b7b05057)
09:55:19	143046/143046	---M-Z	200	added ('OK')	application/javascript	etag:W/%2222ec6-XzsUsOzWFyz4l8ZPrexzRg1u7sI%22	https://cdn.jsdelivr.net/npm/swiper@10/swiper-bundle.min.js	C:/Users/win/Desktop/asdani%20martinex/reales/cdn.jsdelivr.net/npm/swiper@10/swiper-bundle.min.js	(from https://www.arorvr.com/html/AugmentedReality/VirtualTour/3D/ar.html?virtualtourid=11523b7b-c100-4be7-9f9f-6fc8b7b05057)
09:55:19	283/283	---M--	200	added ('OK')	application/javascript	etag:W/%2211b-18c19db32c8%22	https://www.arorvr.com/html/jsfiles/Outputs/outputscommonjs.js	C:/Users/win/Desktop/asdani%20martinex/reales/www.arorvr.com/html/jsfiles/Outputs/outputscommonjs.js	(from https://www.arorvr.com/html/AugmentedReality/VirtualTour/3D/ar.html?virtualtourid=11523b7b-c100-4be7-9f9f-6fc8b7b05057)
09:55:20	2998/2998	---M--	200	added ('OK')	application/javascript	etag:W/%22bb6-18c9c00ac38%22	https://www.arorvr.com/html/jsfiles/Outputs/MarketingModule/output_vt3dtopjsfile.js	C:/Users/win/Desktop/asdani%20martinex/reales/www.arorvr.com/html/jsfiles/Outputs/MarketingModule/output_vt3dtopjsfile.js	(from https://www.arorvr.com/html/AugmentedReality/VirtualTour/3D/ar.html?virtualtourid=11523b7b-c100-4be7-9f9f-6fc8b7b05057)
09:55:20	53425/53425	---M--	200	added ('OK')	image/png	etag:%222d8a211e8befb5430109261f832b8957%22	https://cdn.glitch.global/40d2d3ec-9985-4ac3-83fd-a848e1781b03/Logo(transparent%20bg).png?v=1668421053590	C:/Users/win/Desktop/asdani%20martinex/reales/cdn.glitch.global/40d2d3ec-9985-4ac3-83fd-a848e1781b03/Logo(transparent%20bg)4bd6.png	(from https://www.arorvr.com/html/AugmentedReality/VirtualTour/3D/ar.html?virtualtourid=11523b7b-c100-4be7-9f9f-6fc8b7b05057)
